code,name
"33TE","ESENLER TURGUTREİS - EMİNÖNÜ"
"33TM","GİYİMKENT / TURGUTREİS - MECİDİYEKÖY"
"33Y","GİYİMKENT / YÜZYIL MAHALLESİ - EMİNÖNÜ"
"34A","CEVİZLİBAĞ - SÖĞÜTLÜÇEŞME"
"34AS","AVCILAR - SÖĞÜTLÜÇEŞME"
"34B","BEYLİKDÜZÜ-AVCILAR"
"34BZ","BEYLİKDÜZÜ - ZİNCİRLİKUYU"
"34C","BEYLİKDÜZÜ-CEVİZLİBAĞ"
"34G","BEYLİKDÜZÜ-SÖĞÜTLÜÇEŞME"
"34T","AVCILAR -TOPKAPI"
"34U","ZİNCİRLİKUYU-UZUNÇAYIR"
"34Z","ZİNCİRLİKUYU-SÖĞÜTLÜÇEŞME"
"35C","KOCAMUSTAFAPAŞA - TAKSİM"
"35D","KOCAMUSTAFAPAŞA - BALAT"
"36AS","TAŞOLUK PERON - SEFAKÖY METROBÜS"
"36AY","ARNAVUTKÖY - YENİBOSNA METRO"
"36B","BOLLUCA / BOĞAZKÖY - CEBECİ"
"36C","ARNAVUTKÖY-CEBECI"
"36CB","CEBECİ KÖYÜ - HABİPLER"
"36D","ARNAVUTKÖY - DELİKLİKAYA"
"36ES","SULTANGAZİ PERON - AKSARAY"
"36F","CEBECİ - FENERTEPE/OLİMPİYATKÖY METRO"
"36G","SULTANGAZİ PERON-BEŞİKTAŞ"
"36HT","FATİH MAHALLESİ- HARAÇÇI - CEBECİ"
"36KE","YENİ MAHALLE METRO - EMİNÖNÜ"
"36L","MESCİD-İ SELAM - 4.LEVENT METRO"
"36S","HABİPLER - YENİMAHALLE METRO"
"36V","YAYLA MAHALLESİ - VEZNECİLER"
"36Y","TAŞOLUK PERON - MAHMUTBEY METRO"
"36YS","YASSIÖREN - ARNAVUTKÖY"
"36Z","CEBECİ-ZİNCİRLİKUYU"
"38B","SULTANGAZİ PERON-VEZNECİLER"
"38E","G.O.P. DEVLET HASTANESİ - EMİNÖNÜ"
"38H","ZÜBEYDE HANIM MAHALLESİ - HABİBLER"
"38Z","ZÜBEYDE HANIM MAHALLESİ - AKSARAY"
"3A","KADIKÖY - ÜNALAN MAHALLESİ"
"3B","KADIKÖY - ÜNALAN MAHALLESİ"
"400A","BEYKENT - HARAMİDERE"
"401T","AREL ÜNİVERSİTESİ -TEPEKENT - HARAMİDERE"
"40B","SARIYER - BEŞİKTAŞ"
"40T","İSTİNYE DEREİÇİ - TAKSİM"
"41A","AYAZAĞA - 4. LEVENT METRO"
"41AT","AYAZAĞA - DAVUTPAŞA Y.T.Ü"
"41C","AYAZAĞA - SARIYER"
"41E","AYAZAĞA - KABATAŞ"
"41N","NİŞANTAŞI ÜNİVERSİTESİ - MASLAK"
"41SF","SARIYER - FATİH SULTAN MEHMET"
"41SM","YENİ AYAZAĞA MEZARLIĞI- 4.LEVENT METRO"
"41ST","SEYRANTEPE - TOPKAPI"
"429A","KIRAÇ - AVCILAR METROBÜS"
"42HM","BAHÇEKÖY - HACIOSMAN METRO"
"42K","SARIYER - KAZIM KARABEKİR"
"42KT","SARIYER - KOCATAŞ"
"42T","BAHÇEKÖY - BALTALİMANI"
"42Z","HACIOSMAN METRO - KAZIM KARABEKİR"
"43R","RUMELİ HİSARÜSTÜ - KABATAŞ"
"46Ç","KAĞITHANE - EMİNÖNÜ"
"46KT","KUŞTEPE - ŞİŞLİ"
"46T","ÇAĞLAYAN - TOPKAPI"
"48C","KEMERBURGAZ - ÇİFTALAN KÖYÜ"
"48D","GÖKTÜRK - HACIOSMAN METRO"
"48G","GÖKTÜRK- MESCİDİ SELAM"
"48H","HAMİDİYE MAHALLESİ - ŞİŞLİ"
"48K","KEMERBURGAZ - AĞAÇLI KÖYÜ"
